2025-02-13 09:05:24.462 CET [15324] LOG:  starting PostgreSQL 16.6, compiled by Visual C++ build 1942, 64-bit
2025-02-13 09:05:24.464 CET [15324] LOG:  listening on IPv6 address "::", port 15432
2025-02-13 09:05:24.464 CET [15324] LOG:  listening on IPv4 address "0.0.0.0", port 15432
2025-02-13 09:05:24.471 CET [15324] LOG:  listening on Unix socket "C:/Users/z004u6jf/AppData/Local/.winccoa/.s.PGSQL.15432"
2025-02-13 09:05:24.553 CET [8920] LOG:  database system was shut down at 2025-02-12 14:20:12 CET
2025-02-13 09:05:24.732 CET [15324] LOG:  database system is ready to accept connections
2025-02-13 09:10:24.549 CET [29052] LOG:  checkpoint starting: time
2025-02-13 09:10:39.720 CET [29052] LOG:  checkpoint complete: wrote 141 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=15.124 s, sync=0.034 s, total=15.171 s; sync files=79, longest=0.002 s, average=0.001 s; distance=885 kB, estimate=885 kB; lsn=0/2253AA0, redo lsn=0/22101E8
2025-02-13 09:15:24.731 CET [29052] LOG:  checkpoint starting: time
2025-02-13 09:15:28.063 CET [29052] LOG:  checkpoint complete: wrote 31 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=3.314 s, sync=0.013 s, total=3.333 s; sync files=16, longest=0.005 s, average=0.001 s; distance=326 kB, estimate=830 kB; lsn=0/229E238, redo lsn=0/2261BF0
2025-02-13 09:18:59.720 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 0000000000001530: error code 487
2025-02-13 09:20:24.076 CET [29052] LOG:  checkpoint starting: time
2025-02-13 09:20:31.814 CET [29052] LOG:  checkpoint complete: wrote 72 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=7.705 s, sync=0.024 s, total=7.739 s; sync files=32, longest=0.003 s, average=0.001 s; distance=318 kB, estimate=778 kB; lsn=0/22ECDF0, redo lsn=0/22B1730
2025-02-13 09:25:24.818 CET [29052] LOG:  checkpoint starting: time
2025-02-13 09:25:27.765 CET [29052] LOG:  checkpoint complete: wrote 28 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=2.919 s, sync=0.013 s, total=2.947 s; sync files=16, longest=0.002 s, average=0.001 s; distance=272 kB, estimate=728 kB; lsn=0/22F6470, redo lsn=0/22F58D8
2025-02-13 09:30:24.774 CET [29052] LOG:  checkpoint starting: time
2025-02-13 09:30:30.722 CET [29052] LOG:  checkpoint complete: wrote 55 buffers (0.0%); 0 WAL file(s) added, 0 removed, 0 recycled; write=5.915 s, sync=0.021 s, total=5.948 s; sync files=32, longest=0.005 s, average=0.001 s; distance=306 kB, estimate=686 kB; lsn=0/237D8E8, redo lsn=0/2342410
2025-02-13 09:32:03.849 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 00000000000014E0: error code 487
2025-02-13 09:33:04.980 CET [15324] LOG:  could not reserve shared memory region (addr=000001F2CB540000) for child 00000000000014E0: error code 487
2025-02-13 09:35:24.723 CET [29052] LOG:  checkpoint starting: time
